712,70790,52467,70125,73098,202,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (712,70790,52467,70125,73098,202,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
716,70790,52467,15,73098,23,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (716,70790,52467,15,73098,23,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71905,70790,52467,71879,73098,8,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71905,70790,52467,71879,73098,8,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71905,70790,52467,71881,73098,253,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71905,70790,52467,71881,73098,253,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71906,70790,52467,71879,73098,7,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52467,71879,73098,7,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71906,70790,52467,71881,73098,167,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52467,71881,73098,167,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52478,54,73096,284,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52478,54,73096,284,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52478,70125,73096,488,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52478,70125,73096,488,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
712,70790,52478,54,73096,5,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (712,70790,52478,54,73096,5,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
712,70790,52478,70125,73096,15,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (712,70790,52478,70125,73096,15,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
716,70790,52478,15,73096,151,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (716,70790,52478,15,73096,151,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
717,70790,52478,15,73096,9,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (717,70790,52478,15,73096,9,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
718,70790,52478,15,73096,9,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (718,70790,52478,15,73096,9,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71905,70790,52478,71879,73096,2,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71905,70790,52478,71879,73096,2,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71905,70790,52478,71881,73096,24,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71905,70790,52478,71881,73096,24,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71906,70790,52478,71879,73096,16,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52478,71879,73096,16,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71906,70790,52478,71881,73096,118,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52478,71881,73096,118,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52489,54,73096,1746,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52489,54,73096,1746,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52489,70125,73096,1726,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52489,70125,73096,1726,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
712,70790,52489,54,73096,12,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (712,70790,52489,54,73096,12,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
712,70790,52489,70125,73096,32,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (712,70790,52489,70125,73096,32,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
716,70790,52489,15,73096,573,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (716,70790,52489,15,73096,573,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
717,70790,52489,15,73096,24,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (717,70790,52489,15,73096,24,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
718,70790,52489,15,73096,24,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (718,70790,52489,15,73096,24,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71905,70790,52489,71879,73096,4,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71905,70790,52489,71879,73096,4,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71905,70790,52489,71881,73096,52,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71905,70790,52489,71881,73096,52,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71906,70790,52489,71879,73096,40,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52489,71879,73096,40,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71906,70790,52489,71881,73096,275,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52489,71881,73096,275,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52520,54,73099,5467,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52520,54,73099,5467,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52520,70125,73099,11500,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52520,70125,73099,11500,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
712,70790,52520,54,73099,68,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (712,70790,52520,54,73099,68,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
712,70790,52520,70125,73099,403,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (712,70790,52520,70125,73099,403,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
716,70790,52520,15,73099,619,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (716,70790,52520,15,73099,619,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
717,70790,52520,15,73099,146,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (717,70790,52520,15,73099,146,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
